timestamp_ms,room_temp,ambient_temp,humidity,leak_pct,leak_alert,cooling,valve_pct,power_mW,energy_mWh,sensor_fault
536435,6.08,35.7,40.0,0,0,1,80,9864.0,682256.19,0
537435,6.09,35.7,40.0,0,0,1,80,9864.0,683242.56,0
538435,6.09,35.7,40.0,0,0,1,80,29064.0,686148.94,0
539435,6.09,35.7,40.0,0,0,1,80,9864.0,687135.31,0
540435,6.09,35.8,40.0,0,0,1,80,9864.0,688121.69,0
541435,6.09,35.8,40.0,0,0,1,80,9864.0,689108.06,0
542435,6.09,35.8,40.0,0,0,1,80,9864.0,690094.44,0
543435,6.09,35.8,40.0,0,0,1,80,9864.0,691080.81,0
544435,6.09,35.8,40.0,0,0,1,80,9864.0,692067.19,0
545435,6.09,35.9,40.0,0,0,1,80,9864.0,693053.56,0
546435,6.10,35.9,40.0,0,0,1,80,9864.0,694039.94,0
547435,6.10,35.9,40.0,0,0,1,80,9864.0,695026.31,0
548435,6.10,35.9,40.0,0,0,1,81,29064.0,697932.69,0
549435,6.10,35.9,40.0,0,0,1,81,9864.0,698919.06,0
550435,6.10,36.0,40.0,0,0,1,81,9864.0,699905.44,0
551435,6.10,36.0,40.0,0,0,1,81,9864.0,700891.81,0
552435,6.10,36.0,40.0,0,0,1,81,9864.0,701878.19,0
553435,6.10,36.0,40.0,0,0,1,81,9864.0,702864.56,0
554435,6.11,36.0,40.0,0,0,1,81,9864.0,703850.94,0
555435,6.11,36.1,40.0,0,0,1,81,9864.0,704837.31,0
556435,6.11,36.1,40.0,0,0,1,81,9864.0,705823.69,0
557435,6.11,36.1,40.0,0,0,1,81,9864.0,706810.06,0
558435,6.11,36.1,40.0,0,0,1,81,29064.0,709716.44,0
559435,6.11,36.1,40.0,0,0,1,81,9864.0,710702.81,0
560435,6.11,36.2,40.0,0,0,1,81,9864.0,711689.19,0
561435,6.11,36.2,40.0,0,0,1,81,9864.0,712675.56,0
562435,6.12,36.2,40.0,0,0,1,81,9864.0,713661.94,0
563435,6.12,36.2,40.0,0,0,1,81,9864.0,714648.31,0
564435,6.12,36.2,40.0,0,0,1,81,9864.0,715634.69,0
565435,6.12,36.3,40.0,0,0,1,81,9864.0,716621.06,0
566435,6.12,36.3,40.0,0,0,1,81,9864.0,717607.44,0
567435,6.12,36.3,40.0,0,0,1,82,29064.0,720513.81,0
568435,6.12,36.3,40.0,0,0,1,82,9864.0,721500.19,0
569435,6.12,36.3,40.0,0,0,1,82,9864.0,722486.56,0
570435,6.12,36.4,40.0,0,0,1,82,9864.0,723472.94,0
571435,6.13,36.4,40.0,0,0,1,82,9864.0,724459.31,0
572435,6.13,36.4,40.0,0,0,1,82,9864.0,725445.69,0
573435,6.13,36.4,40.0,0,0,1,82,9864.0,726432.06,0
574435,6.13,36.4,40.0,0,0,1,82,9864.0,727418.44,0
575435,6.13,36.5,40.0,0,0,1,82,9864.0,728404.81,0
576435,6.13,36.5,40.0,0,0,1,82,9864.0,729391.19,0
577435,6.13,36.5,40.0,0,0,1,82,29064.0,732297.56,0
578435,6.13,36.5,40.0,0,0,1,82,9864.0,733283.94,0
579435,6.14,36.5,40.0,0,0,1,82,9864.0,734270.31,0
580435,6.14,36.6,40.0,0,0,1,82,9864.0,735256.69,0
581435,6.14,36.6,40.0,0,0,1,82,9864.0,736243.06,0
582435,6.14,36.6,40.0,0,0,1,82,9864.0,737229.44,0
583435,6.14,36.6,40.0,0,0,1,82,9864.0,738215.81,0
584435,6.14,36.6,40.0,0,0,1,82,9864.0,739202.19,0
585435,6.14,36.7,40.0,0,0,1,82,9864.0,740188.56,0
586435,6.14,36.7,40.0,0,0,1,82,9864.0,741174.94,0
587435,6.15,36.7,40.0,0,0,1,83,29064.0,744081.31,0
588435,6.15,36.7,40.0,0,0,1,83,9864.0,745067.69,0
589435,6.15,36.7,40.0,0,0,1,83,9864.0,746054.06,0
590435,6.15,36.8,40.0,0,0,1,83,9864.0,747040.44,0
591435,6.15,36.8,40.0,0,0,1,83,9864.0,748026.81,0
592435,6.15,36.8,40.0,0,0,1,83,9864.0,749013.19,0
593435,6.15,36.8,40.0,0,0,1,83,9864.0,749999.56,0
594435,6.15,36.8,40.0,0,0,1,83,9864.0,750985.94,0
595435,6.15,36.9,40.0,0,0,1,83,9864.0,751972.31,0
596435,6.16,36.9,40.0,0,0,1,83,9864.0,752958.69,0
597435,6.16,36.9,40.0,0,0,1,83,29064.0,755865.06,0
598435,6.16,36.9,40.0,0,0,1,83,9864.0,756851.44,0
599435,6.16,36.9,40.0,0,0,1,83,9864.0,757837.81,0
600435,6.16,37.0,40.0,0,0,1,83,9864.0,758824.19,0
601435,6.16,37.0,40.0,0,0,1,83,9864.0,759810.56,0
602435,6.16,37.0,40.0,0,0,1,83,9864.0,760796.94,0
603435,6.16,37.0,40.0,0,0,1,83,9864.0,761783.31,0
604435,6.17,37.0,40.0,0,0,1,83,9864.0,762769.69,0
605435,6.17,37.1,40.0,0,0,1,83,9864.0,763756.06,0
606435,6.17,37.1,40.0,0,0,1,84,29064.0,766662.44,0
607435,6.17,37.1,40.0,0,0,1,84,9864.0,767648.81,0
608435,6.17,37.1,40.0,0,0,1,84,9864.0,768635.19,0
609435,6.17,37.1,40.0,0,0,1,84,9864.0,769621.56,0
610435,6.17,37.2,40.0,0,0,1,84,9864.0,770607.94,0
611435,6.17,37.2,40.0,0,0,1,84,9864.0,771594.31,0
612435,6.17,37.2,40.0,0,0,1,84,9864.0,772580.69,0
613435,6.18,37.2,40.0,0,0,1,84,9864.0,773567.06,0
614435,6.18,37.2,40.0,0,0,1,84,9864.0,774553.44,0
615435,6.18,37.3,40.0,0,0,1,84,9864.0,775539.81,0
616435,6.18,37.3,40.0,0,0,1,84,29064.0,778446.19,0
617435,6.18,37.3,40.0,0,0,1,84,9864.0,779432.56,0
618435,6.18,37.3,40.0,0,0,1,84,9864.0,780418.94,0
619435,6.18,37.3,40.0,0,0,1,84,9864.0,781405.31,0
